ID	Predicted_Category
9561	Technology
10802	Business
6727	Business
12366	Football
11783	Football
14177	Business
308	Politics
13636	Football
1042	Business
1227	Film
4042	Business
2578	Film
3615	Film
1661	Film
3242	Business
10178	Film
3533	Politics
8749	Business
8127	Politics
3745	Politics
12163	Football
10901	Technology
7669	Politics
569	Politics
3053	Film
12288	Football
1320	Politics
13094	Film
3426	Business
4273	Technology
11010	Football
6441	Politics
7474	Politics
8028	Business
11932	Football
14299	Technology
1852	Business
7987	Politics
8934	Technology
3619	Technology
3217	Business
3000	Technology
8207	Business
6808	Business
10376	Football
11542	Football
7983	Business
5460	Technology
13994	Football
13084	Film
11525	Football
11092	Business
2920	Politics
4250	Technology
13967	Football
11352	Business
314	Business
9020	Politics
2639	Politics
10745	Football
2728	Business
1150	Business
2047	Technology
122	Technology
8744	Football
14626	Politics
3976	Football
14097	Politics
1713	Politics
382	Film
7872	Business
12942	Film
5931	Business
11473	Politics
11692	Football
14957	Football
15229	Football
7500	Politics
640	Business
93	Technology
6406	Film
2058	Film
14935	Football
14359	Technology
13023	Film
9387	Film
13259	Football
11503	Politics
1362	Technology
1139	Business
11391	Politics
9026	Technology
4803	Football
2331	Politics
12102	Film
1264	Politics
15248	Football
8880	Technology
7965	Business
7700	Politics
6167	Technology
4373	Technology
15188	Business
13418	Football
6760	Business
10684	Business
8333	Business
13277	Football
3876	Politics
5611	Film
2713	Business
3873	Football
3900	Football
10522	Football
1903	Film
12109	Film
9210	Film
10173	Politics
10817	Business
12071	Football
8170	Business
6309	Football
14598	Business
7696	Politics
9036	Technology
4582	Football
3790	Technology
3553	Business
12726	Film
2549	Technology
2615	Politics
440	Business
4544	Football
6771	Business
12906	Business
10517	Football
7624	Business
3027	Technology
7495	Politics
10619	Football
11183	Politics
10072	Film
5786	Film
6640	Business
15044	Football
3393	Business
9239	Film
12189	Technology
9207	Business
6731	Business
7188	Technology
13536	Football
6602	Business
591	Business
274	Football
2688	Politics
9883	Business
8564	Politics
12774	Film
6912	Business
11214	Politics
11269	Politics
14057	Business
14754	Film
13151	Technology
7102	Technology
2200	Film
8344	Politics
4311	Technology
6258	Football
3392	Business
3657	Film
10958	Technology
8732	Politics
7260	Football
7890	Politics
14973	Football
11573	Football
4212	Technology
15131	Business
8068	Business
3409	Business
13416	Football
190	Football
14296	Business
10274	Football
250	Football
14613	Politics
9130	Politics
9427	Politics
5367	Technology
1862	Film
2595	Film
13604	Film
13779	Football
11973	Football
5226	Technology
9825	Politics
3141	Business
2961	Politics
415	Film
1080	Business
4639	Football
14083	Politics
10908	Politics
7991	Politics
5396	Technology
535	Business
2152	Film
5818	Film
12064	Football
3698	Business
3373	Business
5754	Film
4520	Football
8928	Politics
6337	Football
15216	Football
2660	Business
14293	Politics
11136	Politics
7306	Business
8970	Technology
12245	Football
3836	Football
4637	Football
6815	Business
10189	Business
2867	Business
8845	Politics
14790	Business
3783	Business
13491	Football
2196	Film
7564	Politics
10048	Film
13713	Football
6471	Business
4812	Football
6722	Business
7593	Politics
2811	Politics
12750	Film
14221	Politics
1925	Film
923	Business
9985	Politics
10878	Business
9635	Film
7095	Technology
9298	Film
8306	Politics
15071	Football
364	Politics
4710	Football
7754	Politics
7162	Film
6313	Football
11687	Football
3519	Politics
6810	Business
3610	Technology
12112	Film
5153	Football
13966	Football
6853	Technology
12231	Film
8055	Business
6063	Football
10676	Business
2463	Politics
917	Business
11552	Football
12899	Film
9329	Film
8878	Technology
13289	Football
8839	Politics
1966	Film
9441	Film
3152	Business
6146	Technology
15136	Film
2945	Politics
9700	Film
9510	Film
5184	Technology
12841	Politics
12664	Politics
14904	Politics
12644	Film
12464	Football
8009	Business
2010	Film
1464	Technology
13614	Football
7649	Politics
15279	Politics
3320	Politics
3957	Business
444	Business
13351	Politics
1154	Business
10080	Film
13085	Film
6509	Film
6370	Film
12500	Football
9348	Politics
11453	Politics
12377	Football
11498	Politics
4020	Football
8502	Politics
1484	Technology
12490	Football
12395	Football
1103	Business
9740	Film
4688	Football
474	Business
8973	Technology
9998	Politics
6160	Business
950	Business
11866	Football
8339	Business
5175	Football
7368	Business
11293	Politics
12174	Film
2656	Politics
12252	Technology
14995	Football
2733	Politics
2122	Film
2752	Business
13140	Technology
9106	Politics
6593	Business
6797	Business
13860	Film
13230	Football
3954	Football
7727	Politics
12673	Film
13579	Football
13227	Football
9505	Film
14584	Politics
6510	Film
3769	Business
10938	Film
9101	Business
7595	Politics
3743	Business
7678	Business
9517	Film
507	Politics
8420	Politics
1562	Film
5112	Football
4983	Football
2941	Politics
12325	Politics
12294	Football
4729	Football
12463	Football
13573	Football
2652	Politics
150	Business
3565	Politics
14501	Business
4641	Football
13380	Football
3529	Politics
9784	Film
13074	Film
9814	Business
12076	Football
6770	Politics
1361	Technology
12315	Football
340	Politics
8619	Business
675	Technology
11255	Politics
5746	Film
12695	Film
14037	Football
1064	Business
13211	Football
3771	Technology
5876	Film
1412	Technology
12830	Film
9728	Film
11404	Politics
2427	Politics
8641	Business
